dataset_name;population_name;marker_type_name;ho;he;a;p;ne;fis;fit
Abies_alba_EastEurope_Gömöry_2012;Bagne;gSSR;0.458899769585253;0.63572941174417;8.0;;2.74521202710358;0.278152369376417;
Abies_alba_EastEurope_Gömöry_2012;"Baiut Marmaros";gSSR;0.464480750978077;0.654212288526981;8.0;;2.89194776685414;0.290015245626312;
Abies_alba_EastEurope_Gömöry_2012;"Beli Oslavi";gSSR;0.481841402531058;0.630192774875189;6.81818181818182;;2.704111580466;0.235406336376218;
Abies_alba_EastEurope_Gömöry_2012;Budynets;gSSR;0.465354000837872;0.639201332303449;7.54545454545455;;2.77162885989659;0.271975859060079;
Abies_alba_EastEurope_Gömöry_2012;"Campulung Moldovenesc";gSSR;0.510376840685621;0.659935570227024;7.54545454545455;;2.94061922520856;0.226626259120953;
Abies_alba_EastEurope_Gömöry_2012;Dilove;gSSR;0.450568181818182;0.638585132052088;7.45454545454545;;2.76690332547172;0.294427384536366;
Abies_alba_EastEurope_Gömöry_2012;Knyazhdvir;gSSR;0.463041998324256;0.648249183298034;6.81818181818182;;2.84292161529589;0.285703691953019;
Abies_alba_EastEurope_Gömöry_2012;"Kobyletska Polyana";gSSR;0.523114259477896;0.584285403384494;3.81818181818182;;2.40549648278263;0.104693945034845;
Abies_alba_EastEurope_Gömöry_2012;Korchivtsi;gSSR;0.467610752254508;0.643662113293115;7.27272727272727;;2.80632522475101;0.273515183514359;
Abies_alba_EastEurope_Gömöry_2012;Kostryna;gSSR;0.402882321145669;0.589871386246098;7.18181818181818;;2.43825952753458;0.316999721397599;
Abies_alba_EastEurope_Gömöry_2012;"Krivopilskij pereval";gSSR;0.437788894864307;0.634559373762715;7.45454545454545;;2.73642263121202;0.31008994120066;
Abies_alba_EastEurope_Gömöry_2012;Lugi;gSSR;0.432682457517501;0.648037509256791;9.0;;2.84121185154812;0.332318806647893;
Abies_alba_EastEurope_Gömöry_2012;"Lunca Bradului ";gSSR;0.419002911081788;0.653541474292196;7.81818181818182;;2.88634836725992;0.358873265792993;
Abies_alba_EastEurope_Gömöry_2012;Migove;gSSR;0.461814663830793;0.651232151443986;7.90909090909091;;2.86723677122261;0.290860159765139;
Abies_alba_EastEurope_Gömöry_2012;Morzhin;gSSR;0.50473297835024;0.628549482225069;6.90909090909091;;2.69214862316041;0.196987679373337;
Abies_alba_EastEurope_Gömöry_2012;Mykulychyn;gSSR;0.38801732236483;0.626173453650455;6.90909090909091;;2.67503741980099;0.380335719914709;
Abies_alba_EastEurope_Gömöry_2012;"Palotské jedliny NPR";gSSR;0.434148847785211;0.593409387544274;5.81818181818182;;2.45947636114912;0.268382238471379;
Abies_alba_EastEurope_Gömöry_2012;Pidbuzh;gSSR;0.393276109276842;0.589667945193248;6.18181818181818;;2.43705064784898;0.333054963420206;
Abies_alba_EastEurope_Gömöry_2012;Rakhinja;gSSR;0.480897699310835;0.635133554351024;6.81818181818182;;2.74072886647971;0.242840035743011;
Abies_alba_EastEurope_Gömöry_2012;Rosilna;gSSR;0.435791614299679;0.620905788489736;6.09090909090909;;2.63786670868997;0.2981356876062;
Abies_alba_EastEurope_Gömöry_2012;Rozluch;gSSR;0.444422500405121;0.61038835379193;7.18181818181818;;2.56665838850709;0.271902064244469;
Abies_alba_EastEurope_Gömöry_2012;Rybne;gSSR;0.376977287783981;0.594279129740511;6.18181818181818;;2.46474873072323;0.365656189291745;
Abies_alba_EastEurope_Gömöry_2012;SANT;gSSR;0.447776591224867;0.617122854833544;7.63636363636364;;2.61180384523932;0.274412561910958;
Abies_alba_EastEurope_Gömöry_2012;"Sepin - Putila";gSSR;0.470793934811926;0.617289156552537;7.09090909090909;;2.61293876858045;0.237320257752079;
Abies_alba_EastEurope_Gömöry_2012;Slatioara;gSSR;0.361929031294993;0.604198923228257;6.90909090909091;;2.52652167638416;0.40097703358822;
Abies_alba_EastEurope_Gömöry_2012;Sojmy;gSSR;0.45531688701104;0.605020641497433;6.72727272727273;;2.53177787262395;0.24743578023367;
Abies_alba_EastEurope_Gömöry_2012;Truskavec;gSSR;0.410529904443782;0.607907479388938;6.45454545454545;;2.55041845338324;0.324683577085707;
